text,question_id,image
Moderna e descolada,1,1B.jpg
Elegante e chic,1,1A.jpg
Casual e descontraida,1,1D.jpg
"Sexy, bem sexy",1,1C.jpg
"Pele, olhos e boca suave",2,2A.jpg
Quase não uso maquiagem,2,2D.jpg
Amo make e gosto de variar,2,2B.jpg
Olhos marcados e sexy,2,2C.jpg
Chic e despretencioso,3,3A.jpg
Sensual na medida certa,3,3C.jpg
Amo moda e gosto de looks mais fashion,3,3B.jpg
Confortável e casual,3,3D.jpg
Adoro sapatos diferentes,4,4B.jpg
Algo bem sexy combina com meu estilo,4,4C.jpg
"Clássico, por favor",4,4A.jpg
Prefiro algo bem confortável como essa sapatilha,4,4D.jpg
Clássica e sofisticada,5,5A.jpg
Moderna com esta da foto,5,5B.jpg
"Animal print, super sexy",5,5C.jpg
A casual que combina com tudo,5,5D.jpg
"Corretivo, blush, batom nude e vermelho, lápis de olho, delineador, rímel e sombra",6,6B.jpg
"Corretivo, blush, batom nude e vermelho, lápis de olho, delineador e rímel",6,6A.jpg
"Hidratante labial, blush e corretivo",6,6D.jpg
"Corretivo, blush, batom vermelho, lápis de olho, delineador e rímel",6,6C.jpg
Da elegantíssima Kate Middleton,7,7A.jpg
Da sexy Blake Lively,7,7C.jpg
Da descoladíssima Kate Moss,7,7B.jpg
Adoro o ar descolado casual da top Alessandra Ambrósio,7,7D.jpg
Zara (elegante e casual),8,8A.jpg
Planet Girls (ousada e sexy),8,8C.jpg
Urban Outfitters (cool e fashion),8,8B.jpg
Hering (casual e chic na medida certa),8,8D.jpg
Adoro algo moderno,9,9B.jpg
Algo sexy e feminino,9,9C.jpg
Confortável e lindo por favor!,9,9D.jpg
Um clássico como o da foto,9,9A.jpg
Uma bota bem descolada,10,10B.jpg
Um peep toe bem sexy,10,10C.jpg
Um slipper mais casual,10,10D.jpg
Um clássico e elegante peep toe,10,10A.jpg
Moderno e descolado,11,11B.jpg
Alto e elegante,11,11A.jpg
Baixo e confortável,11,11D.jpg
Bem sensual,11,11C.jpg
"Sexy,  muito sexy",12,12C.jpg
Básica e cheia de charme,12,12D.jpg
Clássica,12,12A.jpg
Moderna e descolada,12,12B.jpg
Chic e comportado,13,13A.jpg
Mais casual,13,13D.jpg
Fashion e cool,13,13B.jpg
Sexy muito sexy,13,13C.jpg
O ultra fashion redondo,14,14B.jpg
O Clássico 'Jackie O',14,14A.jpg
O feminino 'gatinho',14,14C.jpg
O 'aviador' que combina com tudo,14,14D.jpg
"Adorei esse de franjas, que é muito sensual",15,15C.jpg
Prefiro algo mais discreto e básico ,15,15D.jpg
O tradicional colar de pérolas,15,15A.jpg
Um maxi colar bem moderno,15,15B.jpg
Elegante na medida certa,16,16A.jpg
Fresco e moderno,16,16B.jpg
Adoro algo bem sensual,16,16C.jpg
Algo mais casual,16,16D.jpg
Chic com uma pitada tradicional,17,17A.jpg
Descolado e elegante,17,17B.jpg
Prefiro algo mais sexy,17,17C.jpg
Casual com um toque especial,17,17D.jpg
Sushi e sashimi,"18",18A.jpg
Hamburguer,"18",18C.jpg
Uma deliciosa pasta,"18",18D.jpg
Uma linda salada,"18",18B.jpg
Buenos Aires,19,19B.jpg
Estação de esqui,19,19C.jpg
Paris,19,19A.jpg
Uma praia paradisíaca,19,19D.jpg
Sofisticada e elegante,20,20A.jpg
Moderno e descolado,20,20B.jpg
Sexy na medida certa,20,20C.jpg
Chic e mais básico,20,20D.jpg
Elle/Vogue,21,21B.jpg
Claudia,21,21A.jpg
Bons Fluidos,21,21D.jpg
Caras/Quem,21,21C.jpg